,Year,Race,Driver,Team,QualiPosition,GridPosition,TargetFinish,Points
73,2022,Emilia_Romagna_Grand_Prix,LAT,Williams,18.0,19.0,16,0.0
74,2022,Emilia_Romagna_Grand_Prix,LEC,Ferrari,2.0,2.0,6,8.0
75,2022,Emilia_Romagna_Grand_Prix,MAG,Haas F1 Team,4.0,8.0,9,2.0
76,2022,Emilia_Romagna_Grand_Prix,MSC,Haas F1 Team,12.0,10.0,17,0.0
77,2022,Emilia_Romagna_Grand_Prix,NOR,McLaren,3.0,5.0,3,15.0
78,2022,Emilia_Romagna_Grand_Prix,OCO,Alpine,19.0,16.0,14,0.0
79,2022,Emilia_Romagna_Grand_Prix,PER,Red Bull Racing,7.0,3.0,2,18.0
80,2022,Emilia_Romagna_Grand_Prix,RIC,McLaren,6.0,6.0,18,0.0
81,2022,Emilia_Romagna_Grand_Prix,RUS,Mercedes,11.0,11.0,4,12.0
82,2022,Emilia_Romagna_Grand_Prix,SAI,Ferrari,10.0,4.0,R,0.0
83,2022,Emilia_Romagna_Grand_Prix,STR,Aston Martin,15.0,15.0,10,1.0
84,2022,Emilia_Romagna_Grand_Prix,TSU,AlphaTauri,16.0,12.0,7,6.0
85,2022,Emilia_Romagna_Grand_Prix,VER,Red Bull Racing,1.0,1.0,1,26.0
86,2022,Emilia_Romagna_Grand_Prix,VET,Aston Martin,9.0,13.0,8,4.0
87,2022,Emilia_Romagna_Grand_Prix,ZHO,Alfa Romeo,14.0,0.0,15,0.0
88,2022,Miami_Grand_Prix,ALB,Williams,18.0,18.0,9,2.0
89,2022,Miami_Grand_Prix,ALO,Alpine,11.0,11.0,11,0.0
90,2022,Miami_Grand_Prix,BOT,Alfa Romeo,5.0,5.0,7,6.0
91,2022,Miami_Grand_Prix,DEV,,,,,
92,2022,Miami_Grand_Prix,GAS,AlphaTauri,7.0,7.0,R,0.0
93,2022,Miami_Grand_Prix,HAM,Mercedes,6.0,6.0,6,8.0
94,2022,Miami_Grand_Prix,HUL,,,,,
95,2022,Miami_Grand_Prix,LAT,Williams,19.0,19.0,14,0.0
96,2022,Miami_Grand_Prix,LEC,Ferrari,1.0,1.0,2,18.0
97,2022,Miami_Grand_Prix,MAG,Haas F1 Team,16.0,16.0,16,0.0
98,2022,Miami_Grand_Prix,MSC,Haas F1 Team,15.0,15.0,15,0.0
99,2022,Miami_Grand_Prix,NOR,McLaren,8.0,8.0,R,0.0
100,2022,Miami_Grand_Prix,OCO,Alpine,20.0,20.0,8,4.0
101,2022,Miami_Grand_Prix,PER,Red Bull Racing,4.0,4.0,4,12.0
102,2022,Miami_Grand_Prix,RIC,McLaren,14.0,14.0,13,0.0
103,2022,Miami_Grand_Prix,RUS,Mercedes,12.0,12.0,5,10.0
104,2022,Miami_Grand_Prix,SAI,Ferrari,2.0,2.0,3,15.0
105,2022,Miami_Grand_Prix,STR,Aston Martin,10.0,0.0,10,1.0
106,2022,Miami_Grand_Prix,TSU,AlphaTauri,9.0,9.0,12,0.0
107,2022,Miami_Grand_Prix,VER,Red Bull Racing,3.0,3.0,1,26.0
108,2022,Miami_Grand_Prix,VET,Aston Martin,13.0,0.0,17,0.0
109,2022,Miami_Grand_Prix,ZHO,Alfa Romeo,17.0,17.0,R,0.0
110,2022,Spanish_Grand_Prix,ALB,Williams,19.0,18.0,18,0.0
111,2022,Spanish_Grand_Prix,ALO,Alpine,17.0,20.0,9,2.0
112,2022,Spanish_Grand_Prix,BOT,Alfa Romeo,7.0,7.0,6,8.0
113,2022,Spanish_Grand_Prix,DEV,,,,,
114,2022,Spanish_Grand_Prix,GAS,AlphaTauri,14.0,14.0,13,0.0
115,2022,Spanish_Grand_Prix,HAM,Mercedes,6.0,6.0,5,10.0
116,2022,Spanish_Grand_Prix,HUL,,,,,
117,2022,Spanish_Grand_Prix,LAT,Williams,20.0,19.0,16,0.0
118,2022,Spanish_Grand_Prix,LEC,Ferrari,1.0,1.0,R,0.0
119,2022,Spanish_Grand_Prix,MAG,Haas F1 Team,8.0,8.0,17,0.0
120,2022,Spanish_Grand_Prix,MSC,Haas F1 Team,10.0,10.0,14,0.0
121,2022,Spanish_Grand_Prix,NOR,McLaren,11.0,11.0,8,4.0
122,2022,Spanish_Grand_Prix,OCO,Alpine,12.0,12.0,7,6.0
123,2022,Spanish_Grand_Prix,PER,Red Bull Racing,5.0,5.0,2,19.0
124,2022,Spanish_Grand_Prix,RIC,McLaren,9.0,9.0,12,0.0
125,2022,Spanish_Grand_Prix,RUS,Mercedes,4.0,4.0,3,15.0
126,2022,Spanish_Grand_Prix,SAI,Ferrari,3.0,3.0,4,12.0
127,2022,Spanish_Grand_Prix,STR,Aston Martin,18.0,17.0,15,0.0
128,2022,Spanish_Grand_Prix,TSU,AlphaTauri,13.0,13.0,10,1.0
129,2022,Spanish_Grand_Prix,VER,Red Bull Racing,2.0,2.0,1,25.0
130,2022,Spanish_Grand_Prix,VET,Aston Martin,16.0,16.0,11,0.0
131,2022,Spanish_Grand_Prix,ZHO,Alfa Romeo,15.0,15.0,R,0.0
132,2022,Monaco_Grand_Prix,ALB,Williams,16.0,16.0,R,0.0
133,2022,Monaco_Grand_Prix,ALO,Alpine,7.0,7.0,7,6.0
134,2022,Monaco_Grand_Prix,BOT,Alfa Romeo,12.0,12.0,9,2.0
135,2022,Monaco_Grand_Prix,DEV,,,,,
136,2022,Monaco_Grand_Prix,GAS,AlphaTauri,17.0,17.0,11,0.0
137,2022,Monaco_Grand_Prix,HAM,Mercedes,8.0,8.0,8,4.0
138,2022,Monaco_Grand_Prix,HUL,,,,,
139,2022,Monaco_Grand_Prix,LAT,Williams,19.0,19.0,15,0.0
140,2022,Monaco_Grand_Prix,LEC,Ferrari,1.0,1.0,4,12.0
141,2022,Monaco_Grand_Prix,MAG,Haas F1 Team,13.0,13.0,R,0.0
142,2022,Monaco_Grand_Prix,MSC,Haas F1 Team,15.0,15.0,R,0.0
